iter	Passed	Remaining
0	385	385422
1	644	321496
2	896	297800
3	1105	275262
4	1322	263083
5	1536	254511
6	1744	247458
7	1954	242371
8	2170	239017
9	2383	236012
10	2613	234977
11	2839	233806
12	3047	231411
13	3256	229334
14	3474	228171
15	3691	227052
16	3901	225582
17	4108	224148
18	4322	223167
19	4543	222639
20	4750	221456
21	4966	220804
22	5179	220017
23	5388	219118
24	5611	218833
25	5822	218105
26	6033	217418
27	6246	216845
28	6455	216161
29	6672	215747
30	6883	215174
31	7091	214513
32	7302	213994
33	7517	213591
34	7760	213954
35	7969	213414
36	8180	212909
37	8391	212437
38	8619	212381
39	8830	211923
40	9040	211463
41	9245	210895
42	9465	210655
43	9684	210410
44	9899	210090
45	10112	209732
46	10320	209271
47	10531	208875
48	10742	208492
49	10969	208416
50	11176	207975
51	11389	207640
52	11610	207456
53	11834	207322
54	12045	206965
55	12267	206802
56	12496	206740
57	12740	206924
58	12961	206721
59	13172	206370
60	13381	205989
61	13605	205830
62	13820	205558
63	14062	205658
64	14276	205364
65	14488	205029
66	14699	204691
67	14909	204347
68	15125	204086
69	15332	203700
70	15544	203395
71	15751	203016
72	15972	202830
73	16195	202665
74	16405	202331
75	16615	202006
76	16821	201636
77	17033	201338
78	17247	201071
79	17458	200767
80	17695	200769
81	17912	200532
82	18125	200254
83	18358	200195
84	18566	199858
85	18775	199543
86	18983	199212
87	19193	198918
88	19413	198715
89	19622	198409
90	19835	198135
91	20048	197867
92	20260	197593
93	20480	197401
94	20693	197129
95	20900	196813
96	21109	196511
97	21326	196288
98	21543	196067
99	21751	195763
100	21959	195457
101	22198	195435
102	22444	195466
103	22683	195425
104	22894	195151
105	23105	194872
106	23360	194959
107	23593	194863
108	23800	194552
109	24023	194367
110	24235	194105
111	24458	193920
112	24685	193766
113	24894	193477
114	25108	193223
115	25324	192991
116	25532	192691
117	25752	192485
118	25958	192181
119	26168	191899
120	26377	191617
121	26588	191352
122	26809	191153
123	27020	190886
124	27232	190629
125	27439	190331
126	27646	190040
127	27856	189774
128	28070	189528
129	28277	189244
130	28499	189055
131	28710	188790
132	28921	188534
133	29134	188285
134	29349	188055
135	29570	187858
136	29794	187681
137	30000	187394
138	30209	187125
139	30420	186870
140	30625	186578
141	30841	186353
142	31068	186195
143	31299	186057
144	31536	185956
145	31747	185699
146	31960	185455
147	32178	185241
148	32388	184984
149	32594	184699
150	32804	184441
151	33035	184301
152	33243	184031
153	33450	183762
154	33657	183488
155	33862	183203
156	34088	183038
157	34296	182767
158	34505	182510
159	34733	182352
160	34939	182075
161	35182	181994
162	35411	181837
163	35623	181591
164	35903	181694
165	36150	181622
166	36404	181586
167	36626	181387
168	36863	181262
169	37083	181056
170	37306	180859
171	37531	180674
172	37749	180454
173	37994	180365
174	38203	180102
175	38415	179852
176	38624	179591
177	38830	179317
178	39041	179067
179	39248	178799
180	39472	178608
181	39683	178358
182	39888	178082
183	40096	177819
184	40307	177572
185	40521	177336
186	40728	177072
187	40934	176802
188	41140	176535
189	41350	176282
190	41567	176062
191	41785	175847
192	41990	175577
193	42214	175386
194	42423	175133
195	42648	174945
196	42855	174683
197	43068	174449
198	43285	174229
199	43493	173975
200	43701	173717
201	43906	173452
202	44110	173182
203	44317	172926
204	44529	172688
205	44772	172568
206	44977	172306
207	45187	172061
208	45406	171849
209	45616	171603
210	45828	171366
211	46034	171110
212	46242	170859
213	46449	170605
214	46662	170373
215	46881	170162
216	47086	169903
217	47296	169660
218	47506	169416
219	47713	169166
220	47924	168928
221	48132	168681
222	48345	168449
223	48552	168201
224	48761	167954
225	48984	167761
226	49194	167521
227	49402	167276
228	49608	167021
229	49819	166785
230	50044	166599
231	50252	166354
232	50462	166114
233	50667	165861
234	50875	165616
235	51101	165431
236	51313	165198
237	51521	164954
238	51728	164709
239	51934	164458
240	52147	164232
241	52367	164027
242	52574	163781
243	52779	163531
244	52986	163285
245	53200	163062
246	53414	162838
247	53623	162599
248	53834	162369
249	54040	162121
250	54252	161892
251	54460	161651
252	54669	161416
253	54878	161177
254	55084	160932
255	55305	160732
256	55511	160485
257	55716	160240
258	55924	160000
259	56131	159757
260	56358	159574
261	56564	159329
262	56770	159087
263	56977	158846
264	57187	158613
265	57413	158426
266	57622	158192
267	57828	157950
268	58046	157740
269	58255	157504
270	58480	157313
271	58685	157070
272	58894	156835
273	59100	156594
274	59307	156355
275	59519	156131
276	59730	155904
277	59941	155675
278	60151	155446
279	60372	155243
280	60594	155044
281	60831	154883
282	61036	154640
283	61245	154406
284	61463	154197
285	61673	153968
286	61900	153779
287	62105	153539
288	62311	153300
289	62525	153078
290	62733	152846
291	62937	152602
292	63145	152368
293	63355	152138
294	63561	151900
295	63773	151677
296	63978	151436
297	64189	151210
298	64414	151019
299	64639	150825
300	64855	150611
301	65062	150375
302	65269	150141
303	65477	149908
304	65688	149684
305	65910	149484
306	66117	149248
307	66328	149023
308	66537	148794
309	66759	148593
310	66982	148395
311	67188	148159
312	67399	147933
313	67603	147695
314	67809	147459
315	68017	147226
316	68223	146992
317	68443	146787
318	68661	146577
319	68868	146345
320	69083	146130
321	69291	145900
322	69503	145677
323	69710	145446
324	69937	145254
325	70221	145182
326	70435	144963
327	70649	144744
328	70859	144519
329	71080	144315
330	71289	144085
331	71496	143855
332	71702	143620
333	71915	143399
334	72137	143198
335	72354	142986
336	72566	142763
337	72775	142536
338	72983	142306
339	73194	142084
340	73401	141851
341	73607	141619
342	73818	141396
